Label,2026-01-26,2026-02-02,2026-02-09,2026-02-16,2026-02-23
BJA,5261.00,5046.00,6818.00,4091.00,1636.00
BR223,3037.00,2781.00,2721.00,1820.00,3746.00
CDPO - SEW,5360.00,4036.00,6428.00,3720.00,6270.00
FIAT,6501.00,6284.00,7205.00,4323.00,8670.00
JLR - SEW,495.00,396.00,495.00,297.00,495.00
KIA - SEW,769.00,646.00,808.00,485.00,769.00
MAN,2901.00,2142.00,2678.00,1607.00,2678.00
MMA - SEW,24022.00,22920.00,29293.00,17792.00,30055.00
Opel - SEW,1662.00,1329.00,1662.00,997.00,1662.00
P13A,977.00,0.00,2442.00,1831.00,3541.00
PO426,3513.00,3429.00,2934.00,1964.00,2562.00
PZ1D,0.00,0.00,0.00,0.00,0.00
RENAULT,1624.00,1199.00,1499.00,900.00,1499.00
SCANIA,1921.00,940.00,1199.00,734.00,1236.00
Volvo - SEW,8645.00,7238.00,10240.00,6604.00,11180.00

